Wind Speed Knots,gust,skyl1,skyl2,skyl3,skyl4,peak_wind_gust,Turbulence
26,35,5000,M,M,M,37,1
19,27,5000,M,M,M,35,1
23,28,5000,M,M,M,32,1
25,29,5000,M,M,M,34,1
21,32,5000,M,M,M,34,1
24,31,5000,M,M,M,32,1
19,28,5000,M,M,M,33,1
13,M,5000,M,M,M,29,0
17,M,5000,M,M,M,M,0
14,22,5000,M,M,M,M,1
15,M,5000,M,M,M,26,0
10,16,5000,M,M,M,M,1
14,19,5000,M,M,M,M,1
15,M,5500,M,M,M,M,0
14,M,5500,M,M,M,M,0
16,M,5500,M,M,M,M,0
10,M,5500,M,M,M,M,0
13,22,5500,M,M,M,M,1
14,19,5500,25000,M,M,M,1
12,M,5500,25000,M,M,M,0
12,M,5500,25000,M,M,M,0
15,M,5500,25000,M,M,M,0
14,M,25000,M,M,M,M,0
17,M,25000,M,M,M,M,0
14,M,25000,M,M,M,M,0
14,M,16000,25000,M,M,M,0
16,M,14000,25000,M,M,M,0
17,M,14000,25000,M,M,M,0
20,25,14000,20000,M,M,26,1
21,26,14000,20000,M,M,31,1
18,30,13000,19000,M,M,32,1
20,28,11000,M,M,M,34,1
25,34,11000,M,M,M,35,1
15,M,11000,M,M,M,34,0
17,25,6500,9000,11000,M,29,1
22,30,1100,2800,4800,M,30,1
25,30,800,1300,2700,M,30,1
23,29,800,M,M,M,30,1
19,25,600,M,M,M,30,1
21,28,600,1700,M,M,28,1
18,M,700,1700,3900,M,26,0
21,27,1500,3900,8000,M,M,1
20,M,1700,4400,10000,M,27,0
19,M,3100,11000,25000,M,26,0
13,M,3600,8000,16000,M,M,0
14,M,3800,7500,14000,21000,M,0
19,25,4700,11000,19000,M,35,1
15,25,5500,11000,19000,25000,27,1
15,23,5500,11000,M,M,26,1
11,M,5500,11000,M,M,M,0
8,M,5500,M,M,M,M,0
14,20,5500,M,M,M,M,1
21,28,5500,M,M,M,28,1
20,23,5500,M,M,M,28,1
14,20,M,M,M,M,M,1
17,24,M,M,M,M,M,1
16,24,M,M,M,M,30,1
16,21,M,M,M,M,28,1
16,19,M,M,M,M,M,1
17,M,M,M,M,M,M,0
17,25,M,M,M,M,M,1
17,22,M,M,M,M,M,1
18,M,M,M,M,M,M,0
14,21,6000,M,M,M,26,1
15,23,6000,M,M,M,M,1
15,M,6000,M,M,M,M,0
14,19,6000,M,M,M,M,1
13,19,6000,M,M,M,M,1
14,M,6500,M,M,M,M,0
13,18,6500,M,M,M,M,1
12,M,M,M,M,M,M,0
11,M,M,M,M,M,M,0
10,M,M,M,M,M,M,0
12,M,20000,M,M,M,M,0
13,M,20000,M,M,M,M,0
14,M,M,M,M,M,M,0
14,M,M,M,M,M,M,0
15,M,M,M,M,M,M,0
14,M,M,M,M,M,M,0
16,M,15000,M,M,M,M,0
16,M,15000,25000,M,M,M,0
15,M,16000,21000,M,M,M,0
12,M,16000,20000,M,M,M,0
11,M,16000,M,M,M,M,0
8,M,15000,25000,M,M,M,0
8,M,15000,23000,M,M,M,0
6,M,16000,25000,M,M,M,0
6,M,20000,26000,M,M,M,0
4,M,20000,26000,M,M,M,0
6,M,20000,26000,M,M,M,0
7,M,8500,20000,26000,M,M,0
8,M,8500,20000,26000,M,M,0
7,M,8500,20000,26000,M,M,0
5,M,8500,20000,26000,M,M,0
11,M,8500,20000,26000,M,M,0
15,M,8000,27000,M,M,M,0
17,M,8500,27000,M,M,M,0
13,M,8500,20000,27000,M,M,0
13,M,8500,20000,27000,M,M,0
14,M,8500,27000,M,M,M,0
